id_avaliacao,data_avaliacao,id_cliente,nota_nps,canal,dispositivo,categoria_compra,valor_pedido,uf,primeiro_pedido
202605-00001,2026-05-17,C33789,7,app,Desktop,Beleza,"R$ 219,56",PE,sim
202605-00002,2026-05-26,C10693,8,app,iOS,Eletrônicos,"R$ 45,44",RJ,sim
202605-00003,2026-05-14,C29565,8,app,Android,Casa e Decoração,"R$ 400,56",BA,nao
202605-00004,2026-05-08,C30237,10,app,Android,Moda,"R$ 116,35",PE,nao
202605-00005,2026-05-23,C18105,9,site,Android,Beleza,"R$ 94,01",RS,sim
202605-00006,2026-05-20,C15937,4,site,Desktop,Livros,"R$ 63,62",DF,sim
202605-00007,2026-05-13,C11257,10,app,iOS,Moda,"R$ 100,30",MG,nao
202605-00008,2026-05-03,C38323,7,app,Android,Casa e Decoração,"R$ 98,51",PR,sim
202605-00009,2026-05-16,C12010,10,app,Android,Casa e Decoração,"R$ 379,24",PE,sim
202605-00010,2026-05-12,C33317,10,app,iOS,Eletrônicos,"R$ 108,71",RS,sim
202605-00011,2026-05-22,C34404,8,app,iOS,Casa e Decoração,"R$ 42,03",SP,sim
202605-00012,2026-05-16,C21913,10,app,iOS,Livros,"R$ 53,65",RS,sim
202605-00013,2026-05-11,C21815,8,site,Android,Mercado,"R$ 56,37",MG,nao
202605-00014,2026-05-07,C29147,7,app,Desktop,Moda,"R$ 67,62",RS,sim
202605-00015,2026-05-07,C33090,7,app,iOS,Esporte,"R$ 83,31",PR,nao
202605-00016,2026-05-25,C16619,7,app,iOS,Moda,"R$ 217,75",CE,sim
202605-00017,2026-05-25,C37965,6,app,Android,Casa e Decoração,"R$ 141,79",RS,nao
202605-00018,2026-05-14,C12218,10,app,Android,Esporte,"R$ 84,84",RJ,sim
202605-00019,2026-05-23,C14224,6,app,Desktop,Eletrônicos,"R$ 103,40",RS,sim
202605-00020,2026-05-16,C32436,9,site,Android,Eletrônicos,"R$ 139,19",PE,sim
202605-00021,2026-05-13,C28431,7,app,Android,Casa e Decoração,"R$ 170,50",DF,sim
202605-00022,2026-05-19,C17137,6,app,iOS,Mercado,"R$ 195,77",MG,nao
202605-00023,2026-05-09,C19942,8,site,iOS,Casa e Decoração,"R$ 97,96",DF,sim
202605-00024,2026-05-18,C17805,6,app,Android,Casa e Decoração,"R$ 65,32",SP,sim
202605-00025,2026-05-21,C18159,9,app,iOS,Eletrônicos,"R$ 287,23",SP,sim
202605-00026,2026-05-12,C20635,6,site,Android,Esporte,"R$ 167,48",SP,nao
202605-00027,2026-05-20,C19663,3,site,iOS,Mercado,"R$ 80,70",PE,sim
202605-00028,2026-05-24,C19164,7,site,Desktop,Esporte,"R$ 64,28",PR,sim
202605-00029,2026-05-21,C18432,5,site,Android,Esporte,"R$ 76,14",PE,sim
202605-00030,2026-05-11,C18807,8,site,Android,Mercado,"R$ 106,58",PR,nao
202605-00031,2026-05-24,C33798,3,app,iOS,Beleza,"R$ 27,54",PR,sim
202605-00032,2026-05-06,C36725,7,app,iOS,Beleza,"R$ 167,40",CE,sim
202605-00033,2026-05-10,C15338,2,site,Desktop,Livros,"R$ 85,64",SP,sim
202605-00034,2026-05-14,C18036,7,app,Android,Beleza,"R$ 321,13",RJ,sim
202605-00035,2026-05-24,C34590,6,site,Android,Beleza,"R$ 158,87",MG,nao
202605-00036,2026-05-25,C37214,8,app,iOS,Moda,"R$ 27,35",SP,sim
202605-00037,2026-05-01,C35965,9,app,Desktop,Eletrônicos,"R$ 141,28",SP,nao
202605-00038,2026-05-07,C14562,7,marketplace,Android,Beleza,"R$ 1.897,64",RJ,sim
202605-00039,2026-05-05,C17989,4,app,Android,Livros,"R$ 406,38",CE,sim
202605-00040,2026-05-04,C27846,7,app,Android,Mercado,"R$ 148,58",SP,nao
202605-00041,2026-05-01,C17427,8,app,iOS,Livros,"R$ 90,29",PR,nao
202605-00042,2026-05-22,C38974,7,app,Desktop,Beleza,"R$ 153,03",PE,sim
202605-00043,2026-05-04,C19234,3,marketplace,Android,Eletrônicos,"R$ 205,49",PR,nao
202605-00044,2026-05-02,C29808,5,marketplace,Android,Casa e Decoração,"R$ 55,09",RJ,sim
202605-00045,2026-05-22,C32516,6,site,Desktop,Casa e Decoração,"R$ 292,95",MG,sim
202605-00046,2026-05-22,C22095,7,app,Desktop,Livros,"R$ 156,17",CE,sim
202605-00047,2026-05-25,C31491,6,site,iOS,Beleza,"R$ 206,55",MG,nao
202605-00048,2026-05-19,C24006,8,site,iOS,Eletrônicos,"R$ 443,20",RJ,nao
202605-00049,2026-05-25,C22616,6,marketplace,Android,Beleza,"R$ 194,04",MG,nao
202605-00050,2026-05-05,C36284,7,site,Desktop,Beleza,"R$ 301,00",BA,nao
202605-00051,2026-05-18,C26141,6,site,Desktop,Beleza,"R$ 204,69",DF,sim
202605-00052,2026-05-17,C28935,7,site,Desktop,Moda,"R$ 116,17",PE,sim
202605-00053,2026-05-07,C37872,8,app,,Esporte,"R$ 144,98",SP,nao
202605-00054,2026-05-02,C39863,6,marketplace,Desktop,Mercado,"R$ 141,22",RJ,sim
202605-00055,2026-05-27,C37961,10,app,Desktop,Beleza,"R$ 242,21",MG,sim
202605-00056,2026-05-02,C34477,10,app,Desktop,Livros,"R$ 88,33",PR,sim
202605-00057,2026-05-23,C23916,6,app,Android,Livros,"R$ 237,15",SP,sim
202605-00058,2026-05-28,C15183,10,app,Android,Eletrônicos,"R$ 340,65",SP,sim
202605-00059,2026-05-27,C36663,7,app,Android,Beleza,"R$ 103,47",SP,sim
202605-00060,2026-05-16,C23484,4,site,Android,Livros,"R$ 92,32",RS,sim
202605-00061,2026-05-02,C38873,10,app,Android,Moda,"R$ 87,66",MG,sim
202605-00062,2026-05-22,C38703,9,app,Android,Casa e Decoração,"R$ 106,34",PE,nao
202605-00063,2026-05-06,C18907,8,site,Android,Moda,"R$ 54,41",PE,sim
202605-00064,2026-05-08,C22854,8,app,Android,Esporte,"R$ 14,97",SP,sim
202605-00065,2026-05-16,C20262,7,site,Android,Beleza,"R$ 38,81",CE,sim
202605-00066,2026-05-21,C23900,10,app,iOS,Eletrônicos,"R$ 209,39",BA,nao
202605-00067,2026-05-01,C17848,8,site,Android,Eletrônicos,"R$ 352,38",BA,sim
202605-00068,2026-05-07,C28077,5,site,Desktop,Moda,"R$ 412,88",RS,nao
202605-00069,2026-05-19,C11470,10,app,Android,Eletrônicos,"R$ 102,97",SP,sim
202605-00070,2026-05-01,C21686,10,app,Desktop,Esporte,"R$ 56,01",RS,sim
202605-00071,2026-05-24,C21660,6,app,Android,Eletrônicos,"R$ 79,36",PE,nao
202605-00072,2026-05-04,C26455,7,app,iOS,Esporte,"R$ 58,00",DF,nao
202605-00073,2026-05-10,C15282,10,app,Android,Livros,"R$ 101,37",SP,sim
202605-00074,2026-05-07,C36459,7,marketplace,iOS,Livros,"R$ 81,51",PR,sim
202605-00075,2026-05-17,C33878,3,marketplace,Android,Mercado,"R$ 146,80",DF,nao
202605-00076,2026-05-11,C19530,4,app,Desktop,Beleza,"R$ 115,81",MG,sim
202605-00077,2026-05-08,C16842,4,marketplace,Android,Moda,"R$ 488,38",PE,nao
202605-00078,2026-05-05,C35110,10,app,Android,Mercado,"R$ 130,85",SP,sim
202605-00079,2026-05-11,C15561,10,app,iOS,Casa e Decoração,"R$ 67,19",CE,nao
202605-00080,2026-05-06,C33286,9,app,iOS,Beleza,"R$ 139,75",RJ,nao
202605-00081,2026-05-21,C14602,8,site,Desktop,Beleza,"R$ 296,09",CE,sim
202605-00082,2026-05-13,C23403,9,app,Desktop,Moda,"R$ 148,73",RS,nao
202605-00083,2026-05-11,C22244,5,app,Android,Beleza,"R$ 62,05",SP,nao
202605-00084,2026-05-20,C31098,6,marketplace,Android,Livros,"R$ 129,72",SP,sim
202605-00085,2026-05-10,C22314,6,app,Android,Eletrônicos,"R$ 657,32",RJ,sim
202605-00086,2026-05-22,C13063,10,app,Android,Esporte,"R$ 185,21",CE,nao
202605-00087,2026-05-24,C13550,8,app,Desktop,Mercado,"R$ 104,74",MG,nao
202605-00088,2026-05-03,C20396,6,app,Android,Moda,"R$ 128,28",BA,nao
202605-00089,2026-05-02,C27861,8,app,Android,Livros,"R$ 50,95",CE,sim
202605-00090,2026-05-20,C35369,9,app,Desktop,Casa e Decoração,"R$ 109,00",SP,nao
202605-00091,2026-05-02,C16930,2,marketplace,Desktop,Livros,"R$ 66,54",PR,nao
202605-00092,2026-05-03,C14644,7,app,Android,Casa e Decoração,"R$ 455,49",MG,nao
202605-00093,2026-05-07,C31942,7,marketplace,iOS,Eletrônicos,"R$ 47,71",DF,sim
202605-00094,2026-05-11,C34680,7,marketplace,iOS,Beleza,"R$ 41,14",PE,nao
202605-00095,2026-05-23,C24312,10,app,Android,Beleza,"R$ 87,38",MG,sim
202605-00096,2026-05-07,C12549,7,site,Android,Moda,"R$ 307,37",SP,nao
202605-00097,2026-05-01,C14931,5,site,Desktop,Beleza,"R$ 45,70",BA,nao
202605-00098,2026-05-09,C27062,7,app,Desktop,Mercado,"R$ 251,35",PE,sim
202605-00099,2026-05-04,C11195,4,site,Desktop,Beleza,"R$ 16,73",SP,sim
202605-00100,2026-05-12,C16873,6,site,Desktop,Esporte,"R$ 178,79",PR,sim
202605-00101,2026-05-01,C19894,10,app,Android,Mercado,"R$ 87,86",BA,sim
202605-00102,2026-05-14,C23447,6,site,Desktop,Beleza,"R$ 272,53",CE,nao
202605-00103,2026-05-15,C24037,4,app,Android,Moda,"R$ 92,58",MG,nao
202605-00104,2026-05-21,C19281,8,app,Desktop,Mercado,"R$ 166,41",PE,sim
202605-00105,2026-05-03,C31286,5,marketplace,,Beleza,"R$ 124,48",RJ,sim
202605-00106,2026-05-18,C13267,3,app,Android,Mercado,"R$ 76,65",SP,sim
202605-00107,2026-05-07,C17303,8,site,Android,Eletrônicos,"R$ 61,09",PE,sim
202605-00108,2026-05-12,C36009,6,marketplace,Android,Mercado,"R$ 166,14",RJ,nao
202605-00109,2026-05-26,C17337,7,app,iOS,Livros,"R$ 136,91",BA,nao
202605-00110,2026-05-22,C17915,6,app,,Beleza,"R$ 105,15",PE,sim
202605-00111,2026-05-26,C22268,9,app,Android,Livros,"R$ 135,62",MG,nao
202605-00112,2026-05-14,C17924,7,app,Android,Esporte,"R$ 142,16",SP,nao
202605-00113,2026-05-14,C14222,9,site,Android,Livros,"R$ 28,93",SP,sim
202605-00114,2026-05-17,C15191,10,app,iOS,Mercado,"R$ 96,03",BA,sim
202605-00115,2026-05-26,C22845,8,site,Android,Casa e Decoração,"R$ 280,92",SP,sim
202605-00116,2026-05-03,C13056,4,marketplace,,Eletrônicos,"R$ 73,95",PR,sim
202605-00117,2026-05-03,C28736,7,app,Android,Moda,"R$ 70,20",DF,nao
202605-00118,2026-05-06,C17855,10,site,iOS,Moda,"R$ 66,70",BA,sim
202605-00119,2026-05-25,C18535,6,site,iOS,Moda,"R$ 140,20",PE,sim
202605-00120,2026-05-28,C13388,5,site,Desktop,Eletrônicos,"R$ 92,11",SP,sim
202605-00121,2026-05-06,C13040,9,app,Desktop,Mercado,"R$ 96,25",RS,sim
202605-00122,2026-05-26,C10719,8,app,Android,Livros,"R$ 83,89",CE,sim
202605-00123,2026-05-13,C39154,5,app,Desktop,Mercado,"R$ 152,19",PE,sim
202605-00124,2026-05-06,C31615,10,app,Android,Eletrônicos,"R$ 123,09",SP,sim
202605-00125,2026-05-16,C30119,7,marketplace,iOS,Esporte,"R$ 197,34",BA,nao
202605-00126,2026-05-20,C10968,4,marketplace,Android,Mercado,"R$ 400,12",PR,sim
202605-00127,2026-05-04,C39444,8,app,iOS,Moda,"R$ 380,81",BA,sim
202605-00128,2026-05-09,C18967,6,site,Desktop,Casa e Decoração,"R$ 433,83",MG,nao
