id_resposta;data_resposta;cidade;idade;canal_atendimento;nota_satisfacao;nota_atendimento;nota_preco;recomendaria;tempo_cliente_meses;comentario
21;09/05/2026;Brasília;26;loja fisica;3.0;3;2;nao;53;Muito satisfeito com a solução.
387;20/04/2026;Porto Alegre;56;Chat;5.0;5;1;nao;45;Poderia melhorar o prazo de resposta.
179;3-5-26;Belo Horizonte;52;chat ;3.0;3;2;Não;85;Preço alto comparado à concorrência.
199;04/05/2026;Fortaleza;25;whatsapp;5.0;5;3;Sim;7;Preço alto comparado à concorrência.
90;1-5-26;São Paulo;66;whatsapp;2.0;2;3;nao;24;Ótima experiência do início ao fim.
118;18-5-26;Curitiba;59;whatsapp;5.0;5;3;Não;84;Tudo certo.
260;25/04/2026;Recife;42;Loja física;4.0;4;4;Sim ;2;Produto bom, mas a entrega atrasou.
160;10-4-26;Brasília;71;Telefone;4.0;5;4;NÃO;17;Ótima experiência do início ao fim.
33;12/05/2026;Fortaleza;71;Chat;4.0;4;3;Sim ;68;Atendimento excelente, resolveram rápido.
400;2026-05-14;Recife;48;Telefone;;4;5;sim;94;Atendente foi educado mas não resolveu meu problema.
224;21-5-26;Belo Horizonte;18;Chat;5.0;5;1;sim;23;Ótima experiência do início ao fim.
397;28-5-26;Porto Alegre;44;E-mail;4.0;3;3;sim;44;Tudo certo.
379;2026-05-10;Rio de Janeiro;73;E-mail;4.0;5;4;Sim ;57;Atendente foi educado mas não resolveu meu problema.
333;28/05/2026;Curitiba;51;WhatsApp;5.0;5;2;Sim;19;Preço alto comparado à concorrência.
164;05/05/2026;Fortaleza;73;Loja física;5.0;5;5;Sim ;67;Demorou demais para me atenderem.
285;2026-05-16;Rio de Janeiro;46;chat ;3.0;4;5;Sim;91;Demorou demais para me atenderem.
85;2026-05-15;São Paulo;32;Chat;5.0;5;1;nao;10;
120;15-5-26;Brasília;44;E-mail;3.0;3;2;Sim ;13;Poderia melhorar o prazo de resposta.
308;23-4-26;Porto Alegre;28;telefone;3.0;3;2;Não;11;Atendente foi educado mas não resolveu meu problema.
183;13-4-26;Belo Horizonte;61;chat ;4.0;4;3;Sim;74;Produto bom, mas a entrega atrasou.
130;2026-05-20;Campinas;51;whatsapp;5.0;5;2;nao;13;Demorou demais para me atenderem.
194;3-4-26;Campinas;27;loja fisica;5.0;5;3;NÃO;44;Ótima experiência do início ao fim.
323;2026-04-20;Belo Horizonte;25;E-mail;3.0;4;3;sim;64;Atendente foi educado mas não resolveu meu problema.
339;2026-04-02;Belo Horizonte;23;chat ;5.0;5;2;Sim;87;Preço alto comparado à concorrência.
226;11/04/2026;Porto Alegre;42;whatsapp;3.0;2;5;Não;39;Ótima experiência do início ao fim.
151;2026-04-19;Brasília;22;whatsapp;4.0;5;2;Sim;48;Preço alto comparado à concorrência.
171;10/05/2026;Campinas;40;loja fisica;4.0;4;3;Sim ;86;Demorou demais para me atenderem.
322;3-5-26;Recife;64;Telefone;5.0;5;5;nao;15;Poderia melhorar o prazo de resposta.
237;05/04/2026;São Paulo;37;Loja física;2.0;3;3;Não;32;Poderia melhorar o prazo de resposta.
6;28-5-26;Curitiba;63;Telefone;3.0;2;3;Não;11;Muito satisfeito com a solução.
110;28/05/2026;Curitiba;42;chat ;5.0;5;4;Sim ;38;Atendimento excelente, resolveram rápido.
406;21/04/2026;Rio de Janeiro;44;WhatsApp;5.0;4;3;Não;61;Produto bom, mas a entrega atrasou.
166;2026-04-12;São Paulo;43;chat ;4.0;3;3;Sim;48;Muito satisfeito com a solução.
193;17/05/2026;Porto Alegre;30;Chat;4.0;5;1;Não;79;Não recomendo o suporte por telefone.
13;15-5-26;São Paulo;61;Loja física;4.0;2;1;Sim ;44;Demorou demais para me atenderem.
287;2026-05-18;Curitiba;69;E-mail;3.0;4;3;Sim ;56;Tudo certo.
189;2026-05-18;Brasília;999;telefone;5.0;5;1;nao;92;Poderia melhorar o prazo de resposta.
350;25-4-26;Recife;40;E-mail;2.0;3;5;NÃO;90;Atendente foi educado mas não resolveu meu problema.
228;13-5-26;Rio de Janeiro;58;chat ;3.0;3;4;sim;18;Poderia melhorar o prazo de resposta.
295;2026-05-14;Fortaleza;49;telefone;3.0;4;4;sim;38;Atendimento excelente, resolveram rápido.
3;23/05/2026;Fortaleza;55;Telefone;5.0;5;2;sim;90;Tudo certo.
26;2026-04-13;Porto Alegre;68;Chat;5.0;5;3;Sim ;72;
244;2026-04-14;Recife;29;whatsapp;3.0;3;2;sim;39;Produto bom, mas a entrega atrasou.
68;26-4-26;São Paulo;40;WhatsApp;4.0;5;4;Sim;65;
416;19-5-26;Fortaleza;999;WhatsApp;2.0;2;2;Sim ;94;Produto bom, mas a entrega atrasou.
56;2026-05-08;Rio de Janeiro;63;email;4.0;5;5;Não;70;Demorou demais para me atenderem.
399;2026-04-02;Porto Alegre;31;loja fisica;2.0;2;3;Não;17;Ótima experiência do início ao fim.
25;21/04/2026;Curitiba;28;whatsapp;4.0;5;1;nao;8;Produto bom, mas a entrega atrasou.
304;24-5-26;Salvador;47;chat ;5.0;5;3;Sim ;12;Poderia melhorar o prazo de resposta.
343;26/04/2026;Salvador;25;whatsapp;;4;4;NÃO;56;Tudo certo.
8;23-4-26;Belo Horizonte;52;E-mail;4.0;4;1;Não;82;Não recomendo o suporte por telefone.
78;2026-04-04;Curitiba;41;Chat;;4;2;NÃO;17;Preço alto comparado à concorrência.
276;24-5-26;Curitiba;38;Chat;5.0;5;2;nao;47;Demorou demais para me atenderem.
414;2026-04-24;Salvador;29;WhatsApp;5.0;5;3;nao;35;Tudo certo.
147;13-5-26;Salvador;32;E-mail;2.0;2;3;NÃO;66;Muito satisfeito com a solução.
54;2026-05-18;Campinas;70;WhatsApp;5.0;4;4;NÃO;58;Produto bom, mas a entrega atrasou.
284;10/05/2026;Rio de Janeiro;71;chat ;3.0;3;2;nao;27;Não recomendo o suporte por telefone.
268;2026-05-05;Salvador;24;Telefone;3.0;3;2;nao;47;Preço alto comparado à concorrência.
412;15/04/2026;Belo Horizonte;73;Chat;5.0;4;5;Sim ;41;Tudo certo.
301;2026-04-09;Porto Alegre;36;Chat;4.0;4;3;NÃO;87;Demorou demais para me atenderem.
132;2026-04-24;Recife;38;chat ;5.0;5;2;Sim ;61;Demorou demais para me atenderem.
270;3-5-26;Rio de Janeiro;999;chat ;3.0;4;2;Sim;38;Tudo certo.
67;13/04/2026;Campinas;62;telefone;4.0;3;3;Não;88;Ótima experiência do início ao fim.
341;04/04/2026;São Paulo;21;E-mail;4.0;4;3;nao;48;
29;3-4-26;Curitiba;43;loja fisica;3.0;3;4;NÃO;6;Ótima experiência do início ao fim.
206;20-5-26;São Paulo;20;E-mail;4.0;4;4;nao;67;Poderia melhorar o prazo de resposta.
346;2026-05-03;Belo Horizonte;44;Loja física;5.0;4;1;NÃO;3;Tudo certo.
161;13/04/2026;Belo Horizonte;999;E-mail;4.0;3;1;Sim;53;Atendente foi educado mas não resolveu meu problema.
70;6-5-26;Brasília;67;whatsapp;4.0;4;5;Sim ;76;Preço alto comparado à concorrência.
262;16/05/2026;Rio de Janeiro;61;Loja física;4.0;4;4;Sim;23;Atendente foi educado mas não resolveu meu problema.
182;1-4-26;Fortaleza;20;telefone;5.0;3;2;Sim ;47;Atendente foi educado mas não resolveu meu problema.
265;2026-04-02;Curitiba;71;chat ;4.0;3;2;NÃO;77;Tudo certo.
184;2026-05-17;Salvador;59;email;3.0;3;3;Sim;95;Produto bom, mas a entrega atrasou.
313;2026-04-01;Salvador;64;E-mail;3.0;4;3;NÃO;88;Poderia melhorar o prazo de resposta.
319;25/04/2026;Campinas;22;Chat;4.0;5;3;Sim;51;Não recomendo o suporte por telefone.
