id_resposta;data_resposta;cidade;idade;canal_atendimento;nota_satisfacao;nota_atendimento;nota_preco;recomendaria;tempo_cliente_meses;comentario;tema_comentario;sentimento_comentario
21;2026-05-09;Brasília;26;Loja física;3.0;3;2;Não;53;Muito satisfeito com a solução.;Solução satisfatória;Positivo
387;2026-04-20;Porto Alegre;56;Chat;5.0;5;1;Não;45;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
179;2026-05-03;Belo Horizonte;52;Chat;3.0;3;2;Não;85;Preço alto comparado à concorrência.;Preço alto;Negativo
199;2026-05-04;Fortaleza;25;WhatsApp;5.0;5;3;Sim;7;Preço alto comparado à concorrência.;Preço alto;Negativo
90;2026-05-01;São Paulo;66;WhatsApp;2.0;2;3;Não;24;Ótima experiência do início ao fim.;Experiência excelente;Positivo
118;2026-05-18;Curitiba;59;WhatsApp;5.0;5;3;Não;84;Tudo certo.;Tudo certo;Neutro
260;2026-04-25;Recife;42;Loja física;4.0;4;4;Sim;2;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
160;2026-04-10;Brasília;71;Telefone;4.0;5;4;Não;17;Ótima experiência do início ao fim.;Experiência excelente;Positivo
33;2026-05-12;Fortaleza;71;Chat;4.0;4;3;Sim;68;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
400;2026-05-14;Recife;48;Telefone;;4;5;Sim;94;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
224;2026-05-21;Belo Horizonte;18;Chat;5.0;5;1;Sim;23;Ótima experiência do início ao fim.;Experiência excelente;Positivo
397;2026-05-28;Porto Alegre;44;E-mail;4.0;3;3;Sim;44;Tudo certo.;Tudo certo;Neutro
379;2026-05-10;Rio de Janeiro;73;E-mail;4.0;5;4;Sim;57;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
333;2026-05-28;Curitiba;51;WhatsApp;5.0;5;2;Sim;19;Preço alto comparado à concorrência.;Preço alto;Negativo
164;2026-05-05;Fortaleza;73;Loja física;5.0;5;5;Sim;67;Demorou demais para me atenderem.;Demora no atendimento;Negativo
285;2026-05-16;Rio de Janeiro;46;Chat;3.0;4;5;Sim;91;Demorou demais para me atenderem.;Demora no atendimento;Negativo
85;2026-05-15;São Paulo;32;Chat;5.0;5;1;Não;10;;Sem comentário;Sem comentário
120;2026-05-15;Brasília;44;E-mail;3.0;3;2;Sim;13;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
308;2026-04-23;Porto Alegre;28;Telefone;3.0;3;2;Não;11;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
183;2026-04-13;Belo Horizonte;61;Chat;4.0;4;3;Sim;74;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
130;2026-05-20;Campinas;51;WhatsApp;5.0;5;2;Não;13;Demorou demais para me atenderem.;Demora no atendimento;Negativo
194;2026-04-03;Campinas;27;Loja física;5.0;5;3;Não;44;Ótima experiência do início ao fim.;Experiência excelente;Positivo
323;2026-04-20;Belo Horizonte;25;E-mail;3.0;4;3;Sim;64;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
339;2026-04-02;Belo Horizonte;23;Chat;5.0;5;2;Sim;87;Preço alto comparado à concorrência.;Preço alto;Negativo
226;2026-04-11;Porto Alegre;42;WhatsApp;3.0;2;5;Não;39;Ótima experiência do início ao fim.;Experiência excelente;Positivo
151;2026-04-19;Brasília;22;WhatsApp;4.0;5;2;Sim;48;Preço alto comparado à concorrência.;Preço alto;Negativo
171;2026-05-10;Campinas;40;Loja física;4.0;4;3;Sim;86;Demorou demais para me atenderem.;Demora no atendimento;Negativo
322;2026-05-03;Recife;64;Telefone;5.0;5;5;Não;15;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
237;2026-04-05;São Paulo;37;Loja física;2.0;3;3;Não;32;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
6;2026-05-28;Curitiba;63;Telefone;3.0;2;3;Não;11;Muito satisfeito com a solução.;Solução satisfatória;Positivo
110;2026-05-28;Curitiba;42;Chat;5.0;5;4;Sim;38;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
406;2026-04-21;Rio de Janeiro;44;WhatsApp;5.0;4;3;Não;61;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
166;2026-04-12;São Paulo;43;Chat;4.0;3;3;Sim;48;Muito satisfeito com a solução.;Solução satisfatória;Positivo
193;2026-05-17;Porto Alegre;30;Chat;4.0;5;1;Não;79;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
13;2026-05-15;São Paulo;61;Loja física;4.0;2;1;Sim;44;Demorou demais para me atenderem.;Demora no atendimento;Negativo
287;2026-05-18;Curitiba;69;E-mail;3.0;4;3;Sim;56;Tudo certo.;Tudo certo;Neutro
189;2026-05-18;Brasília;;Telefone;5.0;5;1;Não;92;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
350;2026-04-25;Recife;40;E-mail;2.0;3;5;Não;90;Atendente foi educado mas não resolveu meu problema.;Resolução não concluída;Negativo
228;2026-05-13;Rio de Janeiro;58;Chat;3.0;3;4;Sim;18;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
295;2026-05-14;Fortaleza;49;Telefone;3.0;4;4;Sim;38;Atendimento excelente, resolveram rápido.;Resolução rápida;Positivo
3;2026-05-23;Fortaleza;55;Telefone;5.0;5;2;Sim;90;Tudo certo.;Tudo certo;Neutro
26;2026-04-13;Porto Alegre;68;Chat;5.0;5;3;Sim;72;;Sem comentário;Sem comentário
244;2026-04-14;Recife;29;WhatsApp;3.0;3;2;Sim;39;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
68;2026-04-26;São Paulo;40;WhatsApp;4.0;5;4;Sim;65;;Sem comentário;Sem comentário
416;2026-05-19;Fortaleza;;WhatsApp;2.0;2;2;Sim;94;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
56;2026-05-08;Rio de Janeiro;63;E-mail;4.0;5;5;Não;70;Demorou demais para me atenderem.;Demora no atendimento;Negativo
399;2026-04-02;Porto Alegre;31;Loja física;2.0;2;3;Não;17;Ótima experiência do início ao fim.;Experiência excelente;Positivo
25;2026-04-21;Curitiba;28;WhatsApp;4.0;5;1;Não;8;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
304;2026-05-24;Salvador;47;Chat;5.0;5;3;Sim;12;Poderia melhorar o prazo de resposta.;Prazo de resposta;Negativo
343;2026-04-26;Salvador;25;WhatsApp;;4;4;Não;56;Tudo certo.;Tudo certo;Neutro
8;2026-04-23;Belo Horizonte;52;E-mail;4.0;4;1;Não;82;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
78;2026-04-04;Curitiba;41;Chat;;4;2;Não;17;Preço alto comparado à concorrência.;Preço alto;Negativo
276;2026-05-24;Curitiba;38;Chat;5.0;5;2;Não;47;Demorou demais para me atenderem.;Demora no atendimento;Negativo
414;2026-04-24;Salvador;29;WhatsApp;5.0;5;3;Não;35;Tudo certo.;Tudo certo;Neutro
147;2026-05-13;Salvador;32;E-mail;2.0;2;3;Não;66;Muito satisfeito com a solução.;Solução satisfatória;Positivo
54;2026-05-18;Campinas;70;WhatsApp;5.0;4;4;Não;58;Produto bom, mas a entrega atrasou.;Entrega atrasada;Negativo
284;2026-05-10;Rio de Janeiro;71;Chat;3.0;3;2;Não;27;Não recomendo o suporte por telefone.;Suporte por telefone;Negativo
268;2026-05-05;Salvador;24;Telefone;3.0;3;2;Não;47;Preço alto comparado à concorrência.;Preço alto;Negativo
412;2026-04-15;Belo Horizonte;73;Chat;5.0;4;5;Sim;41;Tudo certo.;Tudo certo;Neutro
301;2026-04-09;Porto Alegre;36;Chat;4.0;4;3;Não;87;Demorou demais para me atenderem.;Demora no atendimento;Negativo
132;2026-04-24;Recife;38;Chat;5.0;5;2;Sim;61;Demorou demais para me atenderem.;Demora no atendimento;Negativo
270;2026-05-03;Rio de Janeiro;;Chat;3.0;4;2;Sim;38;Tudo certo.;Tudo certo;Neutro
