id_avaliacao,data_avaliacao,id_cliente,nota_nps,canal,dispositivo,categoria_compra,valor_pedido,uf,primeiro_pedido
202606-00001,2026-06-21,C13648,10,site,Android,Eletrônicos,"R$ 81,00",SP,nao
202606-00002,2026-06-01,C34299,9,app,iOS,Mercado,"R$ 81,00",RS,sim
202606-00003,2026-06-09,C18024,6,app,Android,Eletrônicos,"R$ 21,17",RJ,sim
202606-00004,2026-06-08,C14572,7,app,Android,Livros,"R$ 60,29",PE,nao
202606-00005,2026-06-24,C13358,4,site,iOS,Casa e Decoração,"R$ 58,24",PR,sim
202606-00006,2026-06-22,C34270,7,app,Android,Mercado,"R$ 76,91",PE,nao
202606-00007,2026-06-29,C27870,8,app,Android,Casa e Decoração,"R$ 194,38",SP,sim
202606-00008,2026-06-03,C29349,6,app,Android,Casa e Decoração,"R$ 116,68",RS,sim
202606-00009,2026-06-14,C11041,8,app,Android,Livros,"R$ 54,38",SP,nao
202606-00010,2026-06-01,C13070,9,site,iOS,Moda,"R$ 173,41",CE,sim
202606-00011,2026-06-07,C17623,8,app,Desktop,Moda,"R$ 36,95",DF,nao
202606-00012,2026-06-17,C29726,7,app,Desktop,Esporte,"R$ 34,08",DF,nao
202606-00013,2026-06-01,C28390,7,app,iOS,Beleza,"R$ 108,15",CE,nao
202606-00014,2026-06-07,C33462,6,app,Desktop,Livros,"R$ 76,41",PE,sim
202606-00015,2026-06-21,C32981,5,marketplace,Android,Livros,"R$ 227,93",DF,sim
202606-00016,2026-06-18,C23746,8,site,Desktop,Mercado,"R$ 134,43",CE,sim
202606-00017,2026-06-08,C24719,7,site,Android,Livros,"R$ 100,46",CE,sim
202606-00018,2026-06-19,C19115,6,marketplace,Android,Beleza,"R$ 80,97",MG,nao
202606-00019,2026-06-26,C38485,10,marketplace,Android,Casa e Decoração,"R$ 17,78",PE,sim
202606-00020,2026-06-01,C34864,7,app,iOS,Casa e Decoração,"R$ 97,64",RS,sim
202606-00021,2026-06-26,C15231,7,marketplace,Android,Casa e Decoração,"R$ 279,70",PE,nao
202606-00022,2026-06-23,C23848,8,site,Android,Eletrônicos,"R$ 196,75",SP,nao
202606-00023,2026-06-11,C19105,6,app,Android,Eletrônicos,"R$ 24,77",PR,sim
202606-00024,2026-06-05,C17055,7,marketplace,iOS,Moda,"R$ 106,37",CE,sim
202606-00025,2026-06-25,C21029,10,app,Desktop,Esporte,"R$ 122,72",RJ,sim
202606-00026,2026-06-04,C13039,10,marketplace,Android,Esporte,"R$ 324,28",CE,sim
202606-00027,2026-06-13,C13169,10,marketplace,iOS,Livros,"R$ 54,23",SP,nao
202606-00028,2026-06-12,C37770,2,app,iOS,Esporte,"R$ 123,25",SP,sim
202606-00029,2026-06-12,C29782,8,site,iOS,Casa e Decoração,"R$ 41,59",CE,nao
202606-00030,2026-06-09,C36447,10,site,iOS,Eletrônicos,"R$ 203,07",SP,sim
202606-00031,2026-06-02,C33911,6,marketplace,Android,Beleza,"R$ 128,28",DF,sim
202606-00032,2026-06-15,C27571,7,app,iOS,Esporte,"R$ 210,53",PE,sim
202606-00033,2026-06-04,C22403,5,marketplace,iOS,Mercado,"R$ 81,78",SP,nao
202606-00034,2026-06-03,C28089,10,marketplace,Android,Livros,"R$ 190,14",PE,sim
202606-00035,2026-06-10,C37177,6,app,Desktop,Eletrônicos,"R$ 116,87",RJ,sim
202606-00036,2026-06-21,C30267,10,app,iOS,Eletrônicos,"R$ 141,45",RS,nao
202606-00037,2026-06-29,C38236,8,app,iOS,Casa e Decoração,"R$ 158,97",RS,nao
202606-00038,2026-06-12,C28918,7,site,iOS,Esporte,"R$ 158,79",PR,nao
202606-00039,2026-06-07,C33087,6,app,Desktop,Moda,"R$ 64,61",MG,nao
202606-00040,2026-06-03,C11501,8,app,Android,Moda,"R$ 107,65",RS,sim
202606-00041,2026-06-22,C17467,8,site,Android,Casa e Decoração,"R$ 51,82",SP,nao
202606-00042,2026-06-25,C19482,8,site,iOS,Mercado,"R$ 121,51",MG,sim
202606-00043,2026-06-03,C38027,6,app,Desktop,Moda,"R$ 157,54",CE,sim
202606-00044,2026-06-08,C38392,6,app,Android,Esporte,"R$ 217,97",PR,sim
202606-00045,2026-06-04,C22455,9,app,Desktop,Esporte,"R$ 25,48",CE,nao
202606-00046,2026-06-09,C24857,5,app,Android,Moda,"R$ 64,67",RS,nao
202606-00047,2026-06-21,C37332,5,app,iOS,Eletrônicos,"R$ 79,67",CE,nao
202606-00048,2026-06-12,C15329,4,app,iOS,Esporte,"R$ 32,53",MG,nao
202606-00049,2026-06-12,C21641,5,app,iOS,Esporte,"R$ 106,48",BA,nao
202606-00050,2026-06-07,C31960,8,app,Android,Eletrônicos,"R$ 70,70",BA,sim
202606-00051,2026-06-09,C32997,10,app,Desktop,Moda,"R$ 128,77",SP,sim
202606-00052,2026-06-30,C32398,3,site,Desktop,Casa e Decoração,"R$ 57,10",SP,nao
202606-00053,2026-06-21,C12339,10,site,iOS,Livros,"R$ 47,42",DF,nao
202606-00054,2026-06-20,C30806,7,app,,Livros,"R$ 60,40",CE,nao
202606-00055,2026-06-06,C27502,7,site,Desktop,Livros,"R$ 323,79",CE,nao
202606-00056,2026-06-24,C18021,2,marketplace,Android,Moda,"R$ 101,91",CE,nao
202606-00057,2026-06-06,C25147,8,site,Desktop,Beleza,"R$ 40,44",PR,nao
202606-00058,2026-06-13,C18845,9,app,Desktop,Eletrônicos,"R$ 33,53",SP,nao
202606-00059,2026-06-30,C30971,10,app,Android,Moda,"R$ 145,01",RJ,sim
202606-00060,2026-06-23,C28250,8,app,Android,Livros,"R$ 60,21",PR,sim
202606-00061,2026-06-08,C32433,10,app,Android,Beleza,"R$ 52,38",DF,nao
202606-00062,2026-06-11,C37618,10,app,Android,Eletrônicos,"R$ 82,52",SP,sim
202606-00063,2026-06-25,C35427,5,app,Android,Esporte,"R$ 159,59",BA,sim
202606-00064,2026-06-02,C17505,10,app,Android,Mercado,"R$ 397,28",SP,nao
202606-00065,2026-06-27,C11051,10,app,Android,Mercado,"R$ 109,19",BA,nao
202606-00066,2026-06-26,C20336,8,app,iOS,Esporte,"R$ 49,87",RJ,nao
