id_avaliacao;data_avaliacao;mes_referencia;id_cliente;nota_nps;canal;dispositivo;categoria_compra;valor_pedido;uf;primeiro_pedido;arquivo_origem
202604-00024;2026-04-01;2026-04;C34368;7;marketplace;Android;Mercado;120.74;SP;Nao;nps_ecommerce_2026-04.csv
202604-00045;2026-04-01;2026-04;C28137;6;app;iOS;Eletrônicos;103.82;BA;Sim;nps_ecommerce_2026-04.csv
202604-00059;2026-04-01;2026-04;C31714;7;app;Desktop;Esporte;251.62;DF;Sim;nps_ecommerce_2026-04.csv
202604-00091;2026-04-01;2026-04;C16609;9;site;Desktop;Esporte;276.28;CE;Nao;nps_ecommerce_2026-04.csv
202604-00128;2026-04-01;2026-04;C11151;8;app;Desktop;Casa E Decoração;111.58;MG;Nao;nps_ecommerce_2026-04.csv
202604-00132;2026-04-01;2026-04;C10003;8;app;Android;Moda;62.08;RS;Nao;nps_ecommerce_2026-04.csv
202604-00133;2026-04-01;2026-04;C32536;8;app;Desktop;Beleza;260.38;DF;Nao;nps_ecommerce_2026-04.csv
202604-00272;2026-04-01;2026-04;C30037;5;marketplace;Android;Moda;42.11;SP;Nao;nps_ecommerce_2026-04.csv
202604-00280;2026-04-01;2026-04;C28937;8;app;Android;Livros;60.88;SP;Nao;nps_ecommerce_2026-04.csv
202604-00322;2026-04-01;2026-04;C15644;10;app;Desktop;Mercado;157.39;MG;Sim;nps_ecommerce_2026-04.csv
202604-00363;2026-04-01;2026-04;C38566;10;app;Desktop;Esporte;174.02;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00370;2026-04-01;2026-04;C23256;7;site;Android;Beleza;72.14;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00396;2026-04-01;2026-04;C34394;10;app;iOS;Mercado;66.22;RS;Sim;nps_ecommerce_2026-04.csv
202604-00442;2026-04-01;2026-04;C18047;9;app;iOS;Beleza;144.14;PR;Nao;nps_ecommerce_2026-04.csv
202604-00504;2026-04-01;2026-04;C15627;5;app;Android;Beleza;151.98;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00506;2026-04-01;2026-04;C16252;9;app;iOS;Moda;86.4;MG;Sim;nps_ecommerce_2026-04.csv
202604-00509;2026-04-01;2026-04;C38173;8;marketplace;iOS;Casa E Decoração;54.37;CE;Nao;nps_ecommerce_2026-04.csv
202604-00539;2026-04-01;2026-04;C10913;9;site;Android;Casa E Decoração;125.82;MG;Sim;nps_ecommerce_2026-04.csv
202604-00572;2026-04-01;2026-04;C11971;7;site;Android;Esporte;100.47;MG;Nao;nps_ecommerce_2026-04.csv
202604-00577;2026-04-01;2026-04;C39950;5;marketplace;Android;Eletrônicos;63.93;BA;Nao;nps_ecommerce_2026-04.csv
202604-00599;2026-04-01;2026-04;C24857;6;marketplace;Android;Esporte;143.68;SP;Sim;nps_ecommerce_2026-04.csv
202604-00682;2026-04-01;2026-04;C34966;8;site;Desktop;Mercado;326.14;CE;Nao;nps_ecommerce_2026-04.csv
202604-00685;2026-04-01;2026-04;C10420;8;app;Android;Casa E Decoração;86.86;PR;Nao;nps_ecommerce_2026-04.csv
202604-00696;2026-04-01;2026-04;C13174;5;marketplace;Android;Esporte;351.95;CE;Nao;nps_ecommerce_2026-04.csv
202604-00706;2026-04-01;2026-04;C29723;6;site;Android;Livros;182.62;MG;Sim;nps_ecommerce_2026-04.csv
202604-00708;2026-04-01;2026-04;C30767;6;app;iOS;Mercado;30.76;BA;Nao;nps_ecommerce_2026-04.csv
202604-00728;2026-04-01;2026-04;C27954;8;marketplace;Android;Beleza;27.94;MG;Nao;nps_ecommerce_2026-04.csv
202604-00003;2026-04-02;2026-04;C28256;9;app;Desktop;Mercado;45.17;PE;Nao;nps_ecommerce_2026-04.csv
202604-00019;2026-04-02;2026-04;C31962;10;app;iOS;Mercado;99.17;MG;Sim;nps_ecommerce_2026-04.csv
202604-00039;2026-04-02;2026-04;C12867;7;app;iOS;Casa E Decoração;98.32;BA;Sim;nps_ecommerce_2026-04.csv
202604-00063;2026-04-02;2026-04;C31250;8;marketplace;Android;Esporte;149.83;SP;Nao;nps_ecommerce_2026-04.csv
202604-00108;2026-04-02;2026-04;C26465;7;app;Desktop;Mercado;191.29;DF;Sim;nps_ecommerce_2026-04.csv
202604-00148;2026-04-02;2026-04;C29040;7;site;Android;Esporte;157.14;SP;Sim;nps_ecommerce_2026-04.csv
202604-00176;2026-04-02;2026-04;C33946;7;site;Android;Mercado;40.68;RS;Sim;nps_ecommerce_2026-04.csv
202604-00179;2026-04-02;2026-04;C20463;9;app;iOS;Esporte;71.79;DF;Sim;nps_ecommerce_2026-04.csv
202604-00191;2026-04-02;2026-04;C18370;8;app;iOS;Mercado;326.54;DF;Nao;nps_ecommerce_2026-04.csv
202604-00195;2026-04-02;2026-04;C18106;10;site;iOS;Beleza;744.49;SP;Nao;nps_ecommerce_2026-04.csv
202604-00226;2026-04-02;2026-04;C14763;10;app;Android;Mercado;111.69;BA;Nao;nps_ecommerce_2026-04.csv
202604-00227;2026-04-02;2026-04;C13568;4;app;iOS;Livros;219.9;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00273;2026-04-02;2026-04;C10027;5;app;Desktop;Casa E Decoração;40.09;DF;Sim;nps_ecommerce_2026-04.csv
202604-00293;2026-04-02;2026-04;C31045;9;app;Desktop;Eletrônicos;59.18;BA;Sim;nps_ecommerce_2026-04.csv
202604-00317;2026-04-02;2026-04;C16327;7;site;Nao informado;Esporte;112.54;MG;Sim;nps_ecommerce_2026-04.csv
202604-00319;2026-04-02;2026-04;C21117;6;marketplace;Android;Eletrônicos;372.06;SP;Nao;nps_ecommerce_2026-04.csv
202604-00335;2026-04-02;2026-04;C31130;10;app;iOS;Casa E Decoração;478.59;SP;Nao;nps_ecommerce_2026-04.csv
202604-00336;2026-04-02;2026-04;C13421;5;site;Desktop;Moda;172.03;CE;Sim;nps_ecommerce_2026-04.csv
202604-00355;2026-04-02;2026-04;C21979;8;app;Android;Livros;268.71;SP;Sim;nps_ecommerce_2026-04.csv
202604-00368;2026-04-02;2026-04;C20375;9;app;Android;Casa E Decoração;257.01;RJ;Sim;nps_ecommerce_2026-04.csv
202604-00399;2026-04-02;2026-04;C12170;7;app;iOS;Eletrônicos;224.1;RS;Sim;nps_ecommerce_2026-04.csv
202604-00450;2026-04-02;2026-04;C26068;10;app;Android;Eletrônicos;179.54;SP;Nao;nps_ecommerce_2026-04.csv
202604-00466;2026-04-02;2026-04;C23141;5;app;Android;Moda;167.93;MG;Sim;nps_ecommerce_2026-04.csv
202604-00476;2026-04-02;2026-04;C29021;4;marketplace;iOS;Beleza;185.52;DF;Nao;nps_ecommerce_2026-04.csv
202604-00481;2026-04-02;2026-04;C17532;8;app;Android;Moda;77.22;MG;Nao;nps_ecommerce_2026-04.csv
202604-00482;2026-04-02;2026-04;C24467;10;app;Android;Beleza;107.03;CE;Nao;nps_ecommerce_2026-04.csv
202604-00520;2026-04-02;2026-04;C10594;10;app;iOS;Livros;42.43;DF;Sim;nps_ecommerce_2026-04.csv
202604-00521;2026-04-02;2026-04;C36437;10;app;Android;Esporte;60.42;DF;Sim;nps_ecommerce_2026-04.csv
202604-00552;2026-04-02;2026-04;C39302;5;site;iOS;Moda;264.78;PE;Nao;nps_ecommerce_2026-04.csv
202604-00566;2026-04-02;2026-04;C16637;5;app;Android;Moda;63.39;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00590;2026-04-02;2026-04;C19107;6;marketplace;Android;Casa E Decoração;39.46;PR;Sim;nps_ecommerce_2026-04.csv
202604-00596;2026-04-02;2026-04;C22366;7;app;Desktop;Eletrônicos;67.88;SP;Sim;nps_ecommerce_2026-04.csv
202604-00597;2026-04-02;2026-04;C19878;8;app;Android;Eletrônicos;73.62;CE;Sim;nps_ecommerce_2026-04.csv
202604-00677;2026-04-02;2026-04;C30786;8;app;Desktop;Moda;120.96;PR;Sim;nps_ecommerce_2026-04.csv
202604-00744;2026-04-02;2026-04;C14221;8;site;Android;Eletrônicos;54.29;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00067;2026-04-03;2026-04;C26860;10;app;iOS;Moda;133.7;PR;Sim;nps_ecommerce_2026-04.csv
202604-00072;2026-04-03;2026-04;C17097;9;marketplace;Desktop;Mercado;200.99;RS;Nao;nps_ecommerce_2026-04.csv
202604-00122;2026-04-03;2026-04;C15308;6;site;iOS;Livros;121.22;RJ;Nao;nps_ecommerce_2026-04.csv
202604-00142;2026-04-03;2026-04;C27799;10;app;iOS;Mercado;88.24;PE;Nao;nps_ecommerce_2026-04.csv
202604-00174;2026-04-03;2026-04;C28693;9;app;Desktop;Livros;378.9;RS;Sim;nps_ecommerce_2026-04.csv
202604-00182;2026-04-03;2026-04;C23058;9;site;Android;Moda;76.12;RS;Sim;nps_ecommerce_2026-04.csv
202604-00192;2026-04-03;2026-04;C22735;8;app;Android;Livros;166.78;SP;Nao;nps_ecommerce_2026-04.csv
202604-00218;2026-04-03;2026-04;C13740;8;site;Android;Eletrônicos;472.13;RJ;Nao;nps_ecommerce_2026-04.csv
